width,floor,arm,shape,seed,windows_scored,accounts_distinct,account_windows,accounts_median,communities,communities_median,shown_account_windows,largest_community,windows,seconds,rss_mb,wall_s,day,window,present,recall,precision,fragments,community_rank,communities_in_window,burn_in
week,2,real,,0,8.0,7977.0,16092.0,2103.0,167.0,20.0,15440.0,461.0,8,6.1,536,7.2,,,,,,,,,
week,2,plant,light,0,,,,,,,,,1,6.1,461,7.2,2026-07-29,2026-07-27,1.0,1.0,0.9230769230769231,1.0,13.0,23.0,
week,2,plant,light,1,,,,,,,,,1,6.6,412,7.2,2026-09-08,2026-09-07,1.0,1.0,1.0,1.0,16.0,22.0,
week,2,plant,light,2,,,,,,,,,1,6.0,416,7.1,2026-08-21,2026-08-17,1.0,1.0,1.0,1.0,2.0,20.0,
week,2,plant,heavy,0,,,,,,,,,1,6.1,457,7.2,2026-07-29,2026-07-27,1.0,1.0,1.0,1.0,7.0,16.0,
week,2,plant,heavy,1,,,,,,,,,1,6.8,534,8.2,2026-09-08,2026-09-07,1.0,1.0,1.0,1.0,16.0,21.0,
week,2,plant,heavy,2,,,,,,,,,1,5.9,452,7.1,2026-08-21,2026-08-17,1.0,1.0,1.0,1.0,1.0,17.0,
week,2,null,,0,8.0,13614.0,24578.0,3022.5,157.0,19.5,24254.0,1255.0,8,58.7,494,60.3,,,,,,,,,100.0
day,20,null,,0,58.0,3572.0,5734.0,124.0,288.0,7.0,5552.0,50.0,59,70.5,451,71.7,,,,,,,,,100.0
day,10,null,,0,59.0,5311.0,10582.0,189.0,412.0,8.0,10356.0,58.0,59,70.9,446,71.7,,,,,,,,,100.0
day,5,null,,0,59.0,6839.0,17745.0,325.0,592.0,10.0,17457.0,88.0,59,73.6,482,74.8,,,,,,,,,100.0
day,3,null,,0,59.0,8771.0,25605.0,420.0,709.0,12.0,25114.0,121.0,59,73.9,475,74.8,,,,,,,,,100.0
day,2,null,,0,59.0,11496.0,34613.0,590.0,835.0,14.0,33612.0,163.0,59,74.2,492,74.8,,,,,,,,,100.0
