seed_handle,seeds,echo_authors,seed_followers,echoed_components,in_coord_cluster
KabongoMau62741,1,3,85,0,False
KevinjjUSA,1,3,2540,0,False
KimLeftsmile,1,11,12588,0,False
KipasRisa,1,9,1631,0,False
KoTmmeru2,1,4,2502,0,True
LadyVictoriaD,1,14,3927,0,False
LawSocietyofKe,1,3,38385,0,False
LewisMenya,1,3,17810,0,False
MOB_gathinji,1,3,5555,0,False
MSIngawa,1,3,160812,0,False
MaureenMur50993,1,3,27,0,False
Mimihapa9,1,3,154,0,False
MinionBonny,1,5,124,0,False
MkenyaMzalend0,1,4,130,0,False
Mungunyo_Gatere,1,3,570,0,False
MykBrynn,1,4,1472,0,False
NgugiKariu31754,1,3,1839,0,False
Nick_Weather,1,3,1560,0,False
OkiyaOmtatah,1,10,417429,0,False
OtienoEdwin16,1,3,878,0,False
OyendeAllan,1,3,0,0,False
PentlandsTax,1,29,1068,0,False
Poison_king_1,1,3,16040,0,False
Pwrfulwoman2,1,8,50484,0,False
Radio47_Kenya,1,4,32999,0,False
RealTshemedi2,1,4,13731,0,False
RicardoMaranii,1,3,0,0,False
RichkiddWizzy,1,3,9809,0,False
RickSchoen35735,1,24,4378,0,False
SAVEJennYfromHR,1,10,2460,0,False
SPT1603,1,7,2106,0,True
Sarahlei3,1,4,1546,0,False
SessizadamEmir,1,4,4681,0,False
SonOfHopeE,1,3,5022,0,False
StanysBujakera,1,5,830488,0,False
SudanTribune_EN,1,4,103192,0,False
TabraizAurah,1,5,4264,0,False
Talphondrait,1,3,5839,0,False
TheEmmanuelToo,1,3,4393,0,False
The_Informer_KE,1,3,50,0,False
Thee_Acheron,1,5,2341,0,True
Tonny_LeBron,1,3,829,0,False
VMatiga,1,4,175,0,False
Wangilawandaria,1,3,2920,0,True
Yahya_Sinvar_,1,3,112893,0,False
_NairobiDaily,1,3,83,0,False
_jahom,1,3,33779,0,False
abdul_chaucer12,1,5,220,0,False
abokfelix,1,3,7797,0,False
ailedenbiriyim_,1,3,346,0,False
bkairu5,1,4,1541,0,False
brite768,1,11,6306,0,False
brotherharryy,1,25,364,0,False
c9117430587608,1,3,72,0,True
central_sage,1,4,455953,0,False
chandradeepsin1,1,9,143,0,False
chrispo373,1,3,309,0,False
clayton__y,1,3,908,0,False
dj_skold,1,4,4069,0,True
doyledeno,1,4,29,0,False
earadiofm,1,5,1414923,0,False
edigaga_edga,1,3,2627,0,False
exceleunnah254,1,3,27132,0,False
filipelouta,1,3,3063,0,False
gabrasiro,1,6,1225,0,False
gildergen,1,3,22,0,False
glover_roberts,1,5,2166,0,False
harukaze_illust,1,8,21700,0,False
honkabogo,1,5,951387,0,False
iMuthembaa,1,3,6128,0,True
johghindah,1,4,290,0,False
jonazani,1,6,204,0,True
kenkagu,1,6,26,0,False
kijanayamwingii,1,4,98164,0,False
kilundeezy,1,4,140453,0,False
kithebajuniar,1,10,3316,0,False
mansangchirchir,1,4,20349,0,False
mehmetemincifci,1,4,1260,0,False
mulwa_jr,1,3,16773,0,False
murugi_simon,1,5,216,0,False
mutua781229,1,3,195,0,False
mzawaonline,1,3,275173,0,False
naledifusion,1,4,15548,0,False
nickieee001,1,6,2900,0,False
nishachar_11,1,3,1242,0,False
oldsophguy,1,4,2798,0,False
ozanee_11,1,3,3400,0,False
paisylynn,1,7,4742,0,False
pearl_aloharxxx,1,3,17149,0,False
pishmafia,1,3,825,0,False
recreatedd16,1,3,26013,0,False
rkferris1,1,54,3574,0,False
rylnei,1,8,53881,0,False
sakaazee,1,3,109,0,False
shijanigul29385,1,3,313,0,False
smh__w,1,3,64534,0,False
supertanskiii,1,3,229455,0,False
swahili254,1,3,2239,0,False
tessa18640,1,14,3967,0,False
theeokello,1,4,22405,0,False
thespartanguide,1,3,3683,0,False
urban_father,1,4,2646,0,False
vbanno,1,3,4623,0,False
MutembeiTV,0,0,0,14,False
TheTackleKE,0,0,0,12,False
eagle_feed,0,0,0,9,False
martolishez,0,0,0,9,True
Eastleighvoice,0,0,0,7,False
thee_alfa_house,0,0,0,7,True
BernardKavuli,0,0,0,6,False
DanChepta,0,0,0,6,False
JJwillmadeit,0,0,0,5,False
Jesus0reigns,0,0,0,5,True
MaryAmondi37004,0,0,0,5,False
VantageKe,0,0,0,5,False
heroinelincoln,0,0,0,5,False
kindaYobra,0,0,0,5,False
nairobieyeKE,0,0,0,5,False
Adele_lide,0,0,0,4,False
Baddie61081M,0,0,0,4,False
Clintonio10,0,0,0,4,False
EvanoMemba,0,0,0,4,False
GetembeTV,0,0,0,4,False
GlitteringAnge,0,0,0,4,True
Godfxer_fan,0,0,0,4,False
Kibet_bull,0,0,0,4,True
Mnauwoo,0,0,0,4,False
MsenanguFM,0,0,0,4,False
Mwiki_,0,0,0,4,False
Naomikibandi,0,0,0,4,True
Omondiphab,0,0,0,4,False
Realkangethe,0,0,0,4,False
WanjiruJenty,0,0,0,4,False
Welukweli,0,0,0,4,False
stvmedianetwork,0,0,0,4,False
1ngadu1,0,0,0,3,False
8t8_mediakenya,0,0,0,3,False
AbdulahiAdan10,0,0,0,3,False
Babalucky254,0,0,0,3,True
Bookten8,0,0,0,3,False
BusinessNews254,0,0,0,3,False
Calistus42,0,0,0,3,True
Em36010,0,0,0,3,True
Ireenah_,0,0,0,3,False
ItsMissMaina,0,0,0,3,False
JomaxDigital,0,0,0,3,False
KeNewsChannel,0,0,0,3,False
Masika_039,0,0,0,3,False
Milele_FM,0,0,0,3,False
MintoFmradio,0,0,0,3,False
MwaniaSimon30,0,0,0,3,True
MwanzoTv,0,0,0,3,False
Nael254,0,0,0,3,False
PloSigei,0,0,0,3,False
RapudoBrian,0,0,0,3,False
TheNairobiTimez,0,0,0,3,False
Walukhaya,0,0,0,3,False
Wambuib4sky,0,0,0,3,True
WilberforceOnd4,0,0,0,3,False
_7zackiee,0,0,0,3,False
_ItsMkisii,0,0,0,3,False
_KemuntoM,0,0,0,3,True
dictatorbin,0,0,0,3,False
dj_santoz254,0,0,0,3,False
eugene_arogo1,0,0,0,3,True
fourtheyenews,0,0,0,3,True
genz___baddie,0,0,0,3,False
kichefuchefuu,0,0,0,3,False
koikai_john,0,0,0,3,False
mwendani_mg,0,0,0,3,False
omwansaMomwansa,0,0,0,3,False
pdrtv_ke,0,0,0,3,False
wafulaoa,0,0,0,3,False
yNews_digital,0,0,0,3,False
1nissah,0,0,0,2,False
AfricaElite_,0,0,0,2,False
AnthonyKit93001,0,0,0,2,False
Asswetooo,0,0,0,2,False
BettieWaShiro,0,0,0,2,False
BiancaNaom1,0,0,0,2,False
BoboWamboiKuria,0,0,0,2,False
Brannyscloset,0,0,0,2,True
BrianChabari,0,0,0,2,False
CCarusheey,0,0,0,2,True
CapitalFMKenya,0,0,0,2,False
CaroliOmondi,0,0,0,2,False
ChangeTanzania,0,0,0,2,False
DailyWisdomPath,0,0,0,2,False
DavidTuey,0,0,0,2,False
Deviant_Space,0,0,0,2,False
Dkelly4congress,0,0,0,2,False
Doc_Tary,0,0,0,2,True
Doktavir,0,0,0,2,True
Eddie_Mugoh,0,0,0,2,False
EduTalkTz,0,0,0,2,False
ElkanahMbaka,0,0,0,2,True
Frenkie044,0,0,0,2,False
GavaInatenda,0,0,0,2,False
GillyBonnyTv,0,0,0,2,False
Gitamuri003,0,0,0,2,False
GraceNy59291892,0,0,0,2,False
HKebeya,0,0,0,2,True
Hamisi442056,0,0,0,2,True
Intel__bloom,0,0,0,2,False
IsajiBrian1,0,0,0,2,False
Jambotv_,0,0,0,2,False
JoelJirane,0,0,0,2,False
JohnNgutiCDM,0,0,0,2,False
JohnmarkMarco2,0,0,0,2,True
Jossmurage2,0,0,0,2,False
JosueMuriu,0,0,0,2,False
KahoyaMuiru,0,0,0,2,False
Kaka_Tzey,0,0,0,2,False
KapingaMtu,0,0,0,2,False
KateNduta_,0,0,0,2,False
KijanayaKabras,0,0,0,2,False
KijanayaKmtc,0,0,0,2,False
Kilwafinest,0,0,0,2,False
KimBadeji,0,0,0,2,False
Kiunga0,0,0,0,2,False
KryllianThe1st,0,0,0,2,False
KwendoEnos37573,0,0,0,2,True
KyaloIntel,0,0,0,2,False
Kyson254,0,0,0,2,False
LabanMbunya,0,0,0,2,False
Lagoh_,0,0,0,2,True
Littlegirl_254,0,0,0,2,False
LookUpTvDigital,0,0,0,2,False
Ltenkeiyon,0,0,0,2,False
MakaleDorcus,0,0,0,2,False
Malukistephen1,0,0,0,2,True
MamboMseto254,0,0,0,2,False
Marc_Macuda,0,0,0,2,False
MarthaKarua,0,0,0,2,False
MifflinWright,0,0,0,2,True
Mkenya005,0,0,0,2,False
Mkurugenzi_GenZ,0,0,0,2,False
MrMuraya,0,0,0,2,False
Mrprincipal59,0,0,0,2,False
Mtaalam_01,0,0,0,2,False
MtakatifuMike,0,0,0,2,False
Mungai_Frank35,0,0,0,2,False
MusaGVNG,0,0,0,2,False
MusaliaMudavadi,0,0,0,2,False
Must_Go27,0,0,0,2,False
MwangiHub,0,0,0,2,False
MwangoCapital,0,0,0,2,False
Mwinshehe07,0,0,0,2,False
MzalendoeraKE,0,0,0,2,True
Ndunguzg,0,0,0,2,True
News_Kenya,0,0,0,2,False
NovaKiteh,0,0,0,2,True
OGgrandad,0,0,0,2,False
OKatandi,0,0,0,2,False
OkothKopondo,0,0,0,2,False
Omondimikeoo,0,0,0,2,True
Omwamijn,0,0,0,2,False
Oscar_ww_,0,0,0,2,True
PETERNJENG26877,0,0,0,2,False
PHIAMAX,0,0,0,2,False
PetitJaber,0,0,0,2,False
Prince13501878,0,0,0,2,True
Prof1one,0,0,0,2,True
RBryan275,0,0,0,2,False
Ragus12578434,0,0,0,2,True
RutoIsaMofo,0,0,0,2,True
Sativa255,0,0,0,2,False
Simonmbugua_,0,0,0,2,False
SpiceFMKE,0,0,0,2,False
TanzaniaGains,0,0,0,2,False
TaweMovement1,0,0,0,2,False
Tevinmore14,0,0,0,2,False
TheMtBoulevard,0,0,0,2,False
VictorN55304655,0,0,0,2,False
WilliamsRuto,0,0,0,2,False
Yogablackbelt2,0,0,0,2,False
_ChrisOW,0,0,0,2,False
_EvelynKe,0,0,0,2,False
_Mulandi_89,0,0,0,2,False
_nate23,0,0,0,2,False
_vibes001,0,0,0,2,False
_willy001,0,0,0,2,True
aab26_,0,0,0,2,True
amthetherapy,0,0,0,2,False
b_kigo,0,0,0,2,False
baba_makena,0,0,0,2,False
berurfmke,0,0,0,2,False
brenda_ogo30333,0,0,0,2,False
cantoh_amos,0,0,0,2,True
carlxjohn40,0,0,0,2,False
ceeyemnjeru1,0,0,0,2,False
chapanombombwi,0,0,0,2,False
eastafricatv,0,0,0,2,False
eger_ke,0,0,0,2,True
etCo2_Observer,0,0,0,2,False
favour_ke1,0,0,0,2,False
genzinitiative,0,0,0,2,False
itsburberry22,0,0,0,2,False
itsdylanke,0,0,0,2,False
jimNjue_,0,0,0,2,False
jmuragengunjiri,0,0,0,2,False
joelbroownii,0,0,0,2,False
joharimshana,0,0,0,2,False
keifrel,0,0,0,2,True
kenyanbulletin_,0,0,0,2,False
lifeofmshaba,0,0,0,2,False
localboyNY,0,0,0,2,False
makale_jesse,0,0,0,2,True
man_just72747,0,0,0,2,False
martin_2world,0,0,0,2,False
matuidiltd,0,0,0,2,True
mbutchJ,0,0,0,2,False
michaelmakarina,0,0,0,2,False
muchiri_kiminda,0,0,0,2,False
mwabilimwagodi2,0,0,0,2,False
nairobeeee,0,0,0,2,False
nanshehadad,0,0,0,2,False
ngainenjeru,0,0,0,2,False
njoguembu,0,0,0,2,False
oloojl,0,0,0,2,False
onjolo_kenya,0,0,0,2,False
primemediakenya,0,0,0,2,False
pynnats1,0,0,0,2,True
realma1na,0,0,0,2,False
rose_gakuo,0,0,0,2,False
sendloketion,0,0,0,2,False
sirglickson,0,0,0,2,False
sophykwiri,0,0,0,2,False
soskim8,0,0,0,2,False
strathless,0,0,0,2,False
thebordertimes,0,0,0,2,False
thetimeskenya,0,0,0,2,False
tonui_kibet254,0,0,0,2,False
tonykaromo,0,0,0,2,False
vybzmartel_,0,0,0,2,False
wanjirunjira,0,0,0,2,False
wizara123,0,0,0,2,False
09Vato,0,0,0,1,False
0xShivashish,0,0,0,1,False
137LabsEN,0,0,0,1,False
1963taji,0,0,0,1,False
1Matt_Alexander,0,0,0,1,False
1winebythebayTV,0,0,0,1,False
2020Election_Tz,0,0,0,1,False
254_seba,0,0,0,1,False
254lyt,0,0,0,1,False
39kousin,0,0,0,1,False
510b08fe3e104bd,0,0,0,1,False
63notts1,0,0,0,1,False
6lackristoff,0,0,0,1,False
80Hyttinen,0,0,0,1,False
95DanielIsaac,0,0,0,1,False
9zf4n,0,0,0,1,False
AAbdize_,0,0,0,1,False
ABAS__SK,0,0,0,1,False
AEvanInazuma,0,0,0,1,False
AKizitoh63936,0,0,0,1,False
AVID_SZN,0,0,0,1,False
Abba_bakaji_,0,0,0,1,False
Abdulilu1,0,0,0,1,False
Aboge_27,0,0,0,1,False
AbroadTanzania,0,0,0,1,False
AbuuAbdullaah,0,0,0,1,False
AbuuSumayyah10,0,0,0,1,False
Addy_Adams,0,0,0,1,False
Ademba_47,0,0,0,1,False
AdliSann,0,0,0,1,False
Adnan_Dulla,0,0,0,1,False
AdonisOchuoga,0,0,0,1,False
Aduiwayanga,0,0,0,1,False
Adun17114Adun,0,0,0,1,False
AfricaMediaView,0,0,0,1,False
AgandaBenard,0,0,0,1,False
Agwambo_,0,0,0,1,False
Ahija9,0,0,0,1,False
AkLevite,0,0,0,1,False
AkinderWorld,0,0,0,1,False
