platform_post_id,snapshots,span_h,likes_gained,max_step_share,step_at_snapshot
2074645566907170873,262,121.9,5665,0.037,11
2074561586446860581,443,219.1,6331,0.037,1
2077432770507182401,60,22.6,1005,0.037,14
2074962891724173332,239,124.1,173175,0.036,13
2076751062925504983,143,79.6,47398,0.036,0
2074579990893449427,433,215.9,3540,0.036,20
2063991402925797415,254,118.0,411,0.036,24
2077215426212487223,60,22.7,576,0.035,8
2076584110185668923,174,93.3,913,0.035,27
2077393641895612574,57,21.5,2181,0.035,21
2077309740665782578,42,15.5,1687,0.034,29
2074480283919823074,261,121.2,93934,0.034,0
2077416462659276966,58,21.9,1229,0.033,19
2077162584063766846,61,23.0,1980,0.032,2
2070131268356907273,263,123.2,415,0.031,141
2077185422216577398,60,22.7,580,0.028,1
2075007537095852247,111,119.7,39698,0.024,19
